
let p = 1/2

%BEGIN rPTSA config
restriction := 2
q0 := q
m0 := m0
gamma0 := root
%END rPTSA config
    
%BEGIN rPTSA rules
(q, m0, root, 1, (q, m_a_1, up g1))
(q, m0, g1, p, (q, cont, up g1))
(q, m0, g1, 1 - p, (q_end, endStr, down))
(q_end, cont, g1, 1, (q_end, cont, down))
(q, cont, g1, 1, (q, cont, up g1))
(q, endStr, g1, 1, (q_end, endStr, down))
(q_end, m_a_1, root, 1, (q, m_a_2, up g2))
(q_end, m_b_1, root, 1, (q, m_b_2, up g2))
(q, m0, g2, p, (q, cont, up g2))
(q, m0, g2, 1 - p, (q_end, endStr, down))
(q_end, cont, g2, 1, (q_end, cont, down))
(q, cont, g2, 1, (q, cont, up g2))
(q, endStr, g2, 1, (q_end, endStr, down))
(q_end, m_a_2, root, 1, (q, m_a_3, up g3))
(q_end, m_b_2, root, 1, (q, m_b_3, up g3))
(q, m0, g3, p, (q, cont, up g3))
(q, m0, g3, 1 - p, (q_end, endStr, down))
(q_end, cont, g3, 1, (q_end, cont, down))
(q, cont, g3, 1, (q, cont, up g3))
(q, endStr, g3, 1, (q_end, endStr, down))
(q_end, m_a_3, root, 1, (q, m_a_4, up g4))
(q_end, m_b_3, root, 1, (q, m_b_4, up g4))
(q, m0, g4, p, (q, cont, up g4))
(q, m0, g4, 1 - p, (q_end, endStr, down))
(q_end, cont, g4, 1, (q_end, cont, down))
(q, cont, g4, 1, (q, cont, up g4))
(q, endStr, g4, 1, (q_end, endStr, down))
(q_end, m_a_4, root, 1, (q, m_a_5, up g5))
(q_end, m_b_4, root, 1, (q, m_b_5, up g5))
(q, m0, g5, p, (q, cont, up g5))
(q, m0, g5, 1 - p, (q_end, endStr, down))
(q_end, cont, g5, 1, (q_end, cont, down))
(q, cont, g5, 1, (q, cont, up g5))
(q, endStr, g5, 1, (q_end, endStr, down))
(q_end, m_a_5, root, 1, (q, m_a_6, up g6))
(q_end, m_b_5, root, 1, (q, m_b_6, up g6))
(q, m0, g6, p, (q, cont, up g6))
(q, m0, g6, 1 - p, (q_end, endStr, down))
(q_end, cont, g6, 1, (q_end, cont, down))
(q, cont, g6, 1, (q, cont, up g6))
(q, endStr, g6, 1, (q_end, endStr, down))
(q_end, m_a_6, root, 1, (q, m_a_7, up g7))
(q_end, m_b_6, root, 1, (q, m_b_7, up g7))
(q, m0, g7, p, (q, cont, up g7))
(q, m0, g7, 1 - p, (q_end, endStr, down))
(q_end, cont, g7, 1, (q_end, cont, down))
(q, cont, g7, 1, (q, cont, up g7))
(q, endStr, g7, 1, (q_end, endStr, down))
(q_end, m_a_7, root, 1, (q, m_a_8, up g8))
(q_end, m_b_7, root, 1, (q, m_b_8, up g8))
(q, m0, g8, p, (q, cont, up g8))
(q, m0, g8, 1 - p, (q_end, endStr, down))
(q_end, cont, g8, 1, (q_end, cont, down))
(q, cont, g8, 1, (q, cont, up g8))
(q, endStr, g8, 1, (q_end, endStr, down))
(q_end, m_a_8, root, 1, (q, m_a_9, up g9))
(q_end, m_b_8, root, 1, (q, m_b_9, up g9))
(q, m0, g9, p, (q, cont, up g9))
(q, m0, g9, 1 - p, (q_end, endStr, down))
(q_end, cont, g9, 1, (q_end, cont, down))
(q, cont, g9, 1, (q, cont, up g9))
(q, endStr, g9, 1, (q_end, endStr, down))
(q_end, m_a_9, root, 1, (q, m_a_10, up g10))
(q_end, m_b_9, root, 1, (q, m_b_10, up g10))
(q, m0, g10, p, (q, cont, up g10))
(q, m0, g10, 1 - p, (q_end, endStr, down))
(q_end, cont, g10, 1, (q_end, cont, down))
(q, cont, g10, 1, (q, cont, up g10))
(q, endStr, g10, 1, (q_end, endStr, down))
(q_end, m_a_10, root, 1, (q, m_a_11, up g11))
(q_end, m_b_10, root, 1, (q, m_b_11, up g11))
(q, m0, g11, p, (q, cont, up g11))
(q, m0, g11, 1 - p, (q_end, endStr, down))
(q_end, cont, g11, 1, (q_end, cont, down))
(q, cont, g11, 1, (q, cont, up g11))
(q, endStr, g11, 1, (q_end, endStr, down))
(q_end, m_a_11, root, 1, (q, m_a_12, up g12))
(q_end, m_b_11, root, 1, (q, m_b_12, up g12))
(q, m0, g12, p, (q, cont, up g12))
(q, m0, g12, 1 - p, (q_end, endStr, down))
(q_end, cont, g12, 1, (q_end, cont, down))
(q, cont, g12, 1, (q, cont, up g12))
(q, endStr, g12, 1, (q_end, endStr, down))
(q_end, m_a_12, root, 1, (q, m_a_13, up g13))
(q_end, m_b_12, root, 1, (q, m_b_13, up g13))
(q, m0, g13, p, (q, cont, up g13))
(q, m0, g13, 1 - p, (q_end, endStr, down))
(q_end, cont, g13, 1, (q_end, cont, down))
(q, cont, g13, 1, (q, cont, up g13))
(q, endStr, g13, 1, (q_end, endStr, down))
(q_end, m_a_13, root, 1, (q, m_a_14, up g14))
(q_end, m_b_13, root, 1, (q, m_b_14, up g14))
(q, m0, g14, p, (q, cont, up g14))
(q, m0, g14, 1 - p, (q_end, endStr, down))
(q_end, cont, g14, 1, (q_end, cont, down))
(q, cont, g14, 1, (q, cont, up g14))
(q, endStr, g14, 1, (q_end, endStr, down))
(q_end, m_a_14, root, 1, (q, m_a_15, up g15))
(q_end, m_b_14, root, 1, (q, m_b_15, up g15))
(q, m0, g15, p, (q, cont, up g15))
(q, m0, g15, 1 - p, (q_end, endStr, down))
(q_end, cont, g15, 1, (q_end, cont, down))
(q, cont, g15, 1, (q, cont, up g15))
(q, endStr, g15, 1, (q_end, endStr, down))
(q_end, m_a_15, root, 1, (q, m_a_16, up g16))
(q_end, m_b_15, root, 1, (q, m_b_16, up g16))
(q, m0, g16, p, (q, cont, up g16))
(q, m0, g16, 1 - p, (q_end, endStr, down))
(q_end, cont, g16, 1, (q_end, cont, down))
(q, cont, g16, 1, (q, cont, up g16))
(q, endStr, g16, 1, (q_end, endStr, down))
(q_end, m_a_16, root, 1, (q, m_a_17, up g17))
(q_end, m_b_16, root, 1, (q, m_b_17, up g17))
(q, m0, g17, p, (q, cont, up g17))
(q, m0, g17, 1 - p, (q_end, endStr, down))
(q_end, cont, g17, 1, (q_end, cont, down))
(q, cont, g17, 1, (q, cont, up g17))
(q, endStr, g17, 1, (q_end, endStr, down))
(q_end, m_a_17, root, 1, (q, m_a_18, up g18))
(q_end, m_b_17, root, 1, (q, m_b_18, up g18))
(q, m0, g18, p, (q, cont, up g18))
(q, m0, g18, 1 - p, (q_end, endStr, down))
(q_end, cont, g18, 1, (q_end, cont, down))
(q, cont, g18, 1, (q, cont, up g18))
(q, endStr, g18, 1, (q_end, endStr, down))
(q_end, m_a_18, root, 1, (q, m_a_19, up g19))
(q_end, m_b_18, root, 1, (q, m_b_19, up g19))
(q, m0, g19, p, (q, cont, up g19))
(q, m0, g19, 1 - p, (q_end, endStr, down))
(q_end, cont, g19, 1, (q_end, cont, down))
(q, cont, g19, 1, (q, cont, up g19))
(q, endStr, g19, 1, (q_end, endStr, down))
(q_end, m_a_19, root, 1, (q, m_a_20, up g20))
(q_end, m_b_19, root, 1, (q, m_b_20, up g20))
(q, m0, g20, p, (q, cont, up g20))
(q, m0, g20, 1 - p, (q_end, endStr, down))
(q_end, cont, g20, 1, (q_end, cont, down))
(q, cont, g20, 1, (q, cont, up g20))
(q, endStr, g20, 1, (q_end, endStr, down))
(q_end, m_a_20, root, 1, (q, m_a_21, up g21))
(q_end, m_b_20, root, 1, (q, m_b_21, up g21))
(q, m0, g21, p, (q, cont, up g21))
(q, m0, g21, 1 - p, (q_end, endStr, down))
(q_end, cont, g21, 1, (q_end, cont, down))
(q, cont, g21, 1, (q, cont, up g21))
(q, endStr, g21, 1, (q_end, endStr, down))
(q_end, m_a_21, root, 1, (q, m_a_22, up g22))
(q_end, m_b_21, root, 1, (q, m_b_22, up g22))
(q, m0, g22, p, (q, cont, up g22))
(q, m0, g22, 1 - p, (q_end, endStr, down))
(q_end, cont, g22, 1, (q_end, cont, down))
(q, cont, g22, 1, (q, cont, up g22))
(q, endStr, g22, 1, (q_end, endStr, down))
(q_end, m_a_22, root, 1, (q, m_a_23, up g23))
(q_end, m_b_22, root, 1, (q, m_b_23, up g23))
(q, m0, g23, p, (q, cont, up g23))
(q, m0, g23, 1 - p, (q_end, endStr, down))
(q_end, cont, g23, 1, (q_end, cont, down))
(q, cont, g23, 1, (q, cont, up g23))
(q, endStr, g23, 1, (q_end, endStr, down))
(q_end, m_a_23, root, 1, (q, m_a_24, up g24))
(q_end, m_b_23, root, 1, (q, m_b_24, up g24))
(q, m0, g24, p, (q, cont, up g24))
(q, m0, g24, 1 - p, (q_end, endStr, down))
(q_end, cont, g24, 1, (q_end, cont, down))
(q, cont, g24, 1, (q, cont, up g24))
(q, endStr, g24, 1, (q_end, endStr, down))
(q_end, m_a_24, root, 1, (q, m_a_25, up g25))
(q_end, m_b_24, root, 1, (q, m_b_25, up g25))
(q, m0, g25, p, (q, cont, up g25))
(q, m0, g25, 1 - p, (q_end, endStr, down))
(q_end, cont, g25, 1, (q_end, cont, down))
(q, cont, g25, 1, (q, cont, up g25))
(q, endStr, g25, 1, (q_end, endStr, down))
(q_end, m_a_25, root, 1, (q, m_a_26, up g26))
(q_end, m_b_25, root, 1, (q, m_b_26, up g26))
(q, m0, g26, p, (q, cont, up g26))
(q, m0, g26, 1 - p, (q_end, endStr, down))
(q_end, cont, g26, 1, (q_end, cont, down))
(q, cont, g26, 1, (q, cont, up g26))
(q, endStr, g26, 1, (q_end, endStr, down))
(q_end, m_a_26, root, 1, (q, m_a_27, up g27))
(q_end, m_b_26, root, 1, (q, m_b_27, up g27))
(q, m0, g27, p, (q, cont, up g27))
(q, m0, g27, 1 - p, (q_end, endStr, down))
(q_end, cont, g27, 1, (q_end, cont, down))
(q, cont, g27, 1, (q, cont, up g27))
(q, endStr, g27, 1, (q_end, endStr, down))
(q_end, m_a_27, root, 1, (q, m_a_28, up g28))
(q_end, m_b_27, root, 1, (q, m_b_28, up g28))
(q, m0, g28, p, (q, cont, up g28))
(q, m0, g28, 1 - p, (q_end, endStr, down))
(q_end, cont, g28, 1, (q_end, cont, down))
(q, cont, g28, 1, (q, cont, up g28))
(q, endStr, g28, 1, (q_end, endStr, down))
(q_end, m_a_28, root, 1, (q, m_a_29, up g29))
(q_end, m_b_28, root, 1, (q, m_b_29, up g29))
(q, m0, g29, p, (q, cont, up g29))
(q, m0, g29, 1 - p, (q_end, endStr, down))
(q_end, cont, g29, 1, (q_end, cont, down))
(q, cont, g29, 1, (q, cont, up g29))
(q, endStr, g29, 1, (q_end, endStr, down))
(q_end, m_a_29, root, 1, (q, m_a_30, up g30))
(q_end, m_b_29, root, 1, (q, m_b_30, up g30))
(q, m0, g30, p, (q, cont, up g30))
(q, m0, g30, 1 - p, (q_end, endStr, down))
(q_end, cont, g30, 1, (q_end, cont, down))
(q, cont, g30, 1, (q, cont, up g30))
(q, endStr, g30, 1, (q_end, endStr, down))
(q_end, m_a_30, root, 1, (q, m_a_31, up g31))
(q_end, m_b_30, root, 1, (q, m_b_31, up g31))
(q, m0, g31, p, (q, cont, up g31))
(q, m0, g31, 1 - p, (q_end, endStr, down))
(q_end, cont, g31, 1, (q_end, cont, down))
(q, cont, g31, 1, (q, cont, up g31))
(q, endStr, g31, 1, (q_end, endStr, down))
(q_end, m_a_31, root, 1, (q, m_a_32, up g32))
(q_end, m_b_31, root, 1, (q, m_b_32, up g32))
(q, m0, g32, p, (q, cont, up g32))
(q, m0, g32, 1 - p, (q_end, endStr, down))
(q_end, cont, g32, 1, (q_end, cont, down))
(q, cont, g32, 1, (q, cont, up g32))
(q, endStr, g32, 1, (q_end, endStr, down))
(q_end, m_a_32, root, 1, (q, m_a_33, up g33))
(q_end, m_b_32, root, 1, (q, m_b_33, up g33))
(q, m0, g33, p, (q, cont, up g33))
(q, m0, g33, 1 - p, (q_end, endStr, down))
(q_end, cont, g33, 1, (q_end, cont, down))
(q, cont, g33, 1, (q, cont, up g33))
(q, endStr, g33, 1, (q_end, endStr, down))
(q_end, m_a_33, root, 1, (q, m_a_34, up g34))
(q_end, m_b_33, root, 1, (q, m_b_34, up g34))
(q, m0, g34, p, (q, cont, up g34))
(q, m0, g34, 1 - p, (q_end, endStr, down))
(q_end, cont, g34, 1, (q_end, cont, down))
(q, cont, g34, 1, (q, cont, up g34))
(q, endStr, g34, 1, (q_end, endStr, down))
(q_end, m_a_34, root, 1, (q, m_a_35, up g35))
(q_end, m_b_34, root, 1, (q, m_b_35, up g35))
(q, m0, g35, p, (q, cont, up g35))
(q, m0, g35, 1 - p, (q_end, endStr, down))
(q_end, cont, g35, 1, (q_end, cont, down))
(q, cont, g35, 1, (q, cont, up g35))
(q, endStr, g35, 1, (q_end, endStr, down))
(q_end, m_a_35, root, 1, (q, m_a_36, up g36))
(q_end, m_b_35, root, 1, (q, m_b_36, up g36))
(q, m0, g36, p, (q, cont, up g36))
(q, m0, g36, 1 - p, (q_end, endStr, down))
(q_end, cont, g36, 1, (q_end, cont, down))
(q, cont, g36, 1, (q, cont, up g36))
(q, endStr, g36, 1, (q_end, endStr, down))
(q_end, m_a_36, root, 1, (q, m_a_37, up g37))
(q_end, m_b_36, root, 1, (q, m_b_37, up g37))
(q, m0, g37, p, (q, cont, up g37))
(q, m0, g37, 1 - p, (q_end, endStr, down))
(q_end, cont, g37, 1, (q_end, cont, down))
(q, cont, g37, 1, (q, cont, up g37))
(q, endStr, g37, 1, (q_end, endStr, down))
(q_end, m_a_37, root, 1, (q, m_a_38, up g38))
(q_end, m_b_37, root, 1, (q, m_b_38, up g38))
(q, m0, g38, p, (q, cont, up g38))
(q, m0, g38, 1 - p, (q_end, endStr, down))
(q_end, cont, g38, 1, (q_end, cont, down))
(q, cont, g38, 1, (q, cont, up g38))
(q, endStr, g38, 1, (q_end, endStr, down))
(q_end, m_a_38, root, 1, (q, m_a_39, up g39))
(q_end, m_b_38, root, 1, (q, m_b_39, up g39))
(q, m0, g39, p, (q, cont, up g39))
(q, m0, g39, 1 - p, (q_end, endStr, down))
(q_end, cont, g39, 1, (q_end, cont, down))
(q, cont, g39, 1, (q, cont, up g39))
(q, endStr, g39, 1, (q_end, endStr, down))
(q_end, m_a_39, root, 1, (q, m_a_40, up g40))
(q_end, m_b_39, root, 1, (q, m_b_40, up g40))
(q, m0, g40, p, (q, cont, up g40))
(q, m0, g40, 1 - p, (q_end, endStr, down))
(q_end, cont, g40, 1, (q_end, cont, down))
(q, cont, g40, 1, (q, cont, up g40))
(q, endStr, g40, 1, (q_end, endStr, down))
(q_end, m_a_40, root, 1, (q, m_a_41, up g41))
(q_end, m_b_40, root, 1, (q, m_b_41, up g41))
(q, m0, g41, p, (q, cont, up g41))
(q, m0, g41, 1 - p, (q_end, endStr, down))
(q_end, cont, g41, 1, (q_end, cont, down))
(q, cont, g41, 1, (q, cont, up g41))
(q, endStr, g41, 1, (q_end, endStr, down))
(q_end, m_a_41, root, 1, (q, m_a_42, up g42))
(q_end, m_b_41, root, 1, (q, m_b_42, up g42))
(q, m0, g42, p, (q, cont, up g42))
(q, m0, g42, 1 - p, (q_end, endStr, down))
(q_end, cont, g42, 1, (q_end, cont, down))
(q, cont, g42, 1, (q, cont, up g42))
(q, endStr, g42, 1, (q_end, endStr, down))
(q_end, m_a_42, root, 1, (q, m_a_43, up g43))
(q_end, m_b_42, root, 1, (q, m_b_43, up g43))
(q, m0, g43, p, (q, cont, up g43))
(q, m0, g43, 1 - p, (q_end, endStr, down))
(q_end, cont, g43, 1, (q_end, cont, down))
(q, cont, g43, 1, (q, cont, up g43))
(q, endStr, g43, 1, (q_end, endStr, down))
(q_end, m_a_43, root, 1, (q, m_a_44, up g44))
(q_end, m_b_43, root, 1, (q, m_b_44, up g44))
(q, m0, g44, p, (q, cont, up g44))
(q, m0, g44, 1 - p, (q_end, endStr, down))
(q_end, cont, g44, 1, (q_end, cont, down))
(q, cont, g44, 1, (q, cont, up g44))
(q, endStr, g44, 1, (q_end, endStr, down))
(q_end, m_a_44, root, 1, (q, m_a_45, up g45))
(q_end, m_b_44, root, 1, (q, m_b_45, up g45))
(q, m0, g45, p, (q, cont, up g45))
(q, m0, g45, 1 - p, (q_end, endStr, down))
(q_end, cont, g45, 1, (q_end, cont, down))
